,y,y(t)
649,8975,9024.997674080614
650,9300,8974.998203861496
651,9000,9299.998203861498
652,8900,8999.997674080614
653,8775,8899.998203861496
654,8675,8774.997674080614
655,8450,8674.998203861496
656,8500,8449.997674080614
657,8575,8499.997674080614
658,8700,8574.997625126276
659,8700,8699.99820182173
660,8625,8699.997625126276
661,8500,8624.998203861496
662,8600,8499.997625126276
663,8650,8599.997625126276
664,8575,8649.997610847928
665,8675,8574.997610847928
666,8575,8674.997610847928
667,8500,8574.997625126276
668,8575,8499.997625126276
669,8600,8574.997625126276
670,8650,8599.997625126276
671,8575,8649.997625126276
672,8550,8574.997625126276
673,8550,8549.997610847928
674,8550,8549.997625126276
675,8350,8549.997625126276
676,8250,8349.997610847928
677,8300,8249.997625126276
678,8450,8299.997610847928
679,8175,8449.997610847928
680,8125,8174.997610847928
681,8175,8124.998201821731
682,8050,8174.998201821731
683,8150,8049.997625126276
684,8325,8149.997625126276
685,8300,8324.997610847928
686,8325,8299.997610847928
687,8300,8324.997610847928
688,8225,8299.997625126276
689,8200,8224.997625126276
690,8475,8199.997625126276
691,8700,8474.99820182173
692,8700,8699.997674080612
693,8475,8699.997674080612
694,8500,8474.997625126276
695,8450,8499.997625126276
696,8700,8449.997610847928
697,8725,8699.997625126276
698,8850,8724.997674080612
699,8825,8849.997625126278
700,8900,8824.997610847928
701,8825,8899.997610847928
702,8875,8824.997625126276
703,8950,8874.997625126276
704,8875,8949.997625126276
705,8700,8874.997625126276
706,8725,8699.998202841613
707,8750,8724.997674080612
708,8700,8749.997625126276
709,8675,8699.998202841613
710,8725,8674.997625126276
711,8675,8724.998202841613
712,8775,8674.998202841613
713,8750,8774.997625126276
714,8600,8749.997625126276
715,8625,8599.998202841613
716,8475,8624.998202841613
717,8400,8474.998202841613
718,8425,8399.997625126276
719,8575,8424.997625126276
720,8575,8574.997625126276
721,8450,8574.998202841613
722,8550,8449.997625126276
723,8325,8549.997625126276
724,8325,8324.997625126276
725,8300,8324.998203861496
726,8375,8299.998202841613
727,8400,8374.998203861496
728,8500,8399.998202841613
729,8825,8499.998203861496
730,8700,8824.998203861496
731,8675,8699.998203861496
732,8800,8674.998203861496
733,8825,8799.998203861496
734,8750,8824.998202841614
735,8800,8749.998203861496
736,8775,8799.998203861496
737,8725,8774.998203861496
738,8750,8724.998203861496
739,8800,8749.998203861496
740,8825,8799.998202841614
741,8900,8824.998203861496
742,8925,8899.998203861496
743,9000,8924.998202841614
744,9025,8999.998203861496
745,9125,9024.998203861496
746,9200,9124.998203861496
747,9150,9199.998202841614
748,9050,9149.998203861496
749,9050,9049.998203861496
750,8925,9049.998202841613
751,9000,8924.998203861496
752,9000,8999.998202331673
753,9000,8999.998203861494
754,8925,8999.998202331673
755,8925,8924.998202841614
756,8825,8924.998202331673
757,8800,8824.998202331673
758,8775,8799.998202841613
759,8700,8774.998202841613
760,8775,8699.998202841613
761,9000,8774.998202841613
762,9000,8999.998202841613
763,9125,8999.998202841614
764,9025,9124.998202841613
765,9050,9024.997674080614
766,9150,9049.998203861494
767,9150,9149.998202841614
768,9250,9149.998202841614
