Date,Open,High,Low,Close,Volume
2021-02-25,6740,6770,6680,6705,78688000
2021-02-26,6705,6810,6645,6710,173631500
2021-03-01,6830,7045,6800,7045,205539000
2021-03-02,7120,7160,7000,7015,81446500
2021-03-03,7065,7085,7000,7000,84470000
2021-03-04,6905,7000,6720,6720,120802500
2021-03-05,6720,6925,6720,6800,111871500
2021-03-08,6950,6950,6720,6720,90883000
2021-03-09,6700,6715,6600,6605,135582000
2021-03-10,6720,6720,6620,6705,50302000
2021-03-12,6875,6880,6715,6765,74328000
2021-03-15,6815,6820,6665,6665,57416000
2021-03-16,6710,6710,6620,6625,70755500
2021-03-17,6650,6665,6605,6610,71474500
2021-03-18,6620,6720,6610,6705,70067500
2021-03-19,6770,6770,6625,6760,125853000
2021-03-22,6640,6680,6610,6620,67523500
2021-03-23,6720,6720,6555,6565,127762500
2021-03-24,6515,6550,6420,6440,152050000
2021-03-25,6400,6440,6330,6370,119101500
2021-03-26,6370,6445,6300,6415,134467500
2021-03-29,6410,6515,6360,6360,113370500
2021-03-30,6370,6455,6370,6395,83115500
2021-03-31,6390,6395,6145,6215,223390500
2021-04-01,6215,6270,6155,6225,112286000
2021-04-05,6250,6290,6155,6155,73311500
2021-04-06,6135,6170,6080,6165,80215000
2021-04-07,6155,6275,6135,6250,107908000
2021-04-08,6200,6215,6125,6135,123697500
2021-04-09,6315,6320,6145,6200,116961000
2021-04-12,6295,6295,6060,6065,110411500
2021-04-13,6050,6060,5980,6000,119211500
2021-04-14,6105,6305,6060,6305,135519500
2021-04-15,6305,6310,6180,6280,102686500
2021-04-16,6370,6370,6215,6275,79293500
2021-04-19,6275,6280,6230,6270,47095000
2021-04-20,6200,6250,6185,6235,72721000
2021-04-21,6200,6225,6165,6165,68397000
2021-04-22,6200,6275,6180,6215,63758000
2021-04-23,6280,6395,6225,6390,108498500
2021-04-26,6395,6400,6280,6285,108742000
2021-04-27,6370,6435,6355,6405,132650000
2021-04-28,6400,6405,6315,6320,87660000
2021-04-29,6460,6460,6360,6410,57355000
2021-04-30,6450,6450,6380,6405,65829500
2021-05-03,6480,6480,6345,6390,42065500
2021-05-04,6350,6430,6340,6400,50123500
2021-05-05,6420,6430,6400,6425,51685000
2021-05-06,6400,6450,6400,6425,38115500
2021-05-07,6460,6460,6385,6400,48864000
2021-05-10,6400,6420,6395,6420,68180500
2021-05-11,6400,6480,6305,6480,70680000
2021-05-17,6500,6500,6375,6500,129058500
2021-05-18,6400,6455,6365,6390,73563000
2021-05-19,6380,6400,6335,6345,64912500
2021-05-20,6390,6435,6350,6380,64950000
2021-05-21,6450,6450,6260,6360,92620000
2021-05-24,6355,6380,6290,6325,59210000
2021-05-25,6300,6440,6300,6355,87470000
2021-05-27,6440,6480,6270,6270,537971500
2021-05-28,6330,6370,6330,6340,102108500
2021-05-31,6360,6390,6325,6375,101442000
2021-06-02,6500,6515,6420,6465,141732500
2021-06-03,6495,6600,6430,6600,133810500
2021-06-04,6620,6620,6500,6580,62108500
2021-06-07,6560,6570,6430,6530,62576000
2021-06-08,6575,6575,6430,6430,64348000
2021-06-09,6360,6535,6360,6530,77198000
2021-06-10,6555,6620,6490,6620,73262500
2021-06-11,6570,6580,6460,6470,72780500
2021-06-14,6520,6520,6400,6410,61478500
2021-06-15,6445,6470,6405,6470,87799000
2021-06-16,6420,6435,6360,6385,48984000
2021-06-17,6390,6390,6275,6330,68448500
2021-06-18,6300,6345,6280,6325,118043000
2021-06-21,6300,6300,6210,6250,60823500
2021-06-22,6250,6390,6240,6340,65824000
2021-06-23,6295,6340,6230,6230,52451000
2021-06-24,6310,6310,6200,6210,56010000
2021-06-25,6230,6260,6190,6190,68939500
2021-06-28,6100,6150,6055,6055,84420500
2021-06-29,6050,6090,6040,6045,53704000
2021-06-30,6000,6070,6000,6025,65795000
2021-07-01,6060,6075,6000,6025,58153000
2021-07-02,6070,6140,6040,6100,67392500
2021-07-05,6100,6130,6070,6110,39710500
2021-07-06,6110,6110,6055,6055,34279500
2021-07-07,6180,6180,6030,6065,35595000
2021-07-08,6000,6040,5980,6015,47297000
2021-07-09,6010,6020,5990,6020,40707500
2021-07-12,6070,6180,6020,6170,65981500
2021-07-13,6170,6175,6015,6045,65946500
2021-07-14,6020,6030,5980,5990,59321000
2021-07-15,6000,6115,5995,6115,49724000
2021-07-16,6170,6170,6055,6110,47998500
2021-07-19,6110,6110,6005,6005,47119000
2021-07-21,6050,6120,6010,6010,55009500
2021-07-22,6115,6155,6050,6155,60792000
2021-07-23,6180,6190,6025,6035,79938000
2021-07-26,6040,6060,6005,6005,48171500
2021-07-27,6005,6060,6000,6005,53107500
2021-07-28,6005,6010,5970,5980,74133000
2021-07-29,6055,6085,5980,6040,84605000
2021-07-30,6040,6100,5960,5970,105685000
2021-08-02,6060,6065,5905,5960,119981500
2021-08-03,6025,6180,5985,6145,110071500
2021-08-04,6145,6150,6060,6120,41112000
2021-08-05,6170,6310,6140,6300,93768000
2021-08-06,6360,6360,6135,6160,67285000
2021-08-09,6135,6200,6105,6200,52858500
2021-08-10,6250,6300,6115,6300,60446000
2021-08-12,6120,6320,6120,6300,118325500
2021-08-13,6350,6435,6325,6410,86929000
2021-08-16,6420,6420,6305,6420,69282000
2021-08-18,6520,6760,6460,6600,186354500
2021-08-19,6600,6600,6530,6600,100926000
2021-08-20,6600,6600,6510,6600,120163500
2021-08-23,6515,6590,6515,6590,68253000
2021-08-24,6570,6600,6500,6600,59561500
2021-08-25,6600,6605,6585,6600,80751500
2021-08-26,6560,6580,6470,6560,74337000
2021-08-27,6490,6530,6490,6510,71572500
2021-08-30,6530,6580,6520,6565,74564500
2021-08-31,6520,6570,6515,6550,115373500
2021-09-01,6550,6600,6535,6565,67362500
2021-09-02,6525,6575,6455,6540,53257000
2021-09-03,6560,6600,6515,6600,35764500
2021-09-06,6600,6605,6550,6575,36780000
2021-09-07,6595,6605,6570,6570,53902000
2021-09-08,6550,6595,6420,6440,77888000
2021-09-09,6410,6570,6410,6570,110074000
2021-09-10,6495,6565,6495,6520,41483500
2021-09-13,6560,6560,6525,6555,29929000
2021-09-14,6590,6595,6495,6545,51990500
2021-09-15,6545,6550,6485,6495,44514000
2021-09-16,6580,6580,6480,6500,58672500
2021-09-17,6490,6535,6480,6520,117540000
2021-09-20,6570,6590,6510,6585,73157500
2021-09-21,6510,6535,6470,6490,57115500
2021-09-22,6500,6580,6500,6555,68722000
2021-09-23,6555,6590,6545,6580,60998500
2021-09-24,6500,6585,6500,6585,60539500
2021-09-27,6585,6595,6555,6580,55052500
2021-09-28,6540,6560,6500,6520,80186000
2021-09-29,6520,6580,6515,6580,74079000
2021-09-30,6600,7000,6595,7000,156848000
2021-10-01,6900,6900,6710,6760,103954500
2021-10-04,6740,6960,6740,6960,74719000
2021-10-05,6910,6945,6860,6945,54986500
2021-10-06,6980,7180,6970,7180,174312000
2021-10-07,7175,7175,7080,7160,107263500
2021-10-08,7200,7300,7175,7290,94643500
2021-10-11,7240,7290,7230,7255,47201000
2021-10-12,7255,7320,7245,7320,91067000
