Date,Open,High,Low,Close,Volume,MA5,MA20,MA60,AlexanderFilter,RS,RSI,Money Flow Index,%B,10 days Volatility,30 days Volatility,Chaikin Oscilator,MACD,Accumulation and Distribution Oscillator,%K,William %R
22/04/2020,5160,5235,5045,5145,107263500,5265,5407,5993.25,-6.369426752,0.610465116,37.90613718,51.409117,0.245764753,165.6117448,399.6779606,-95109329.19,160.0961538,-2024917437,9.478672986,0.90521327
23/04/2020,5180,5245,5120,5120,105419500,5241,5438,5965.083333,-10.72362685,0.644171779,39.17910448,59.31207006,0.028262596,166.3099516,371.8527561,-119366141.7,125.7692308,-2130336937,7.109004739,0.928909953
24/04/2020,5120,5140,4920,4920,131149500,5140,5420,5933.083333,-12.99734748,0.433497537,30.24054983,51.58694415,-0.123094686,190.0795886,370.0585539,-149978265.7,72.21153846,-2261486437,0,1
27/04/2020,4940,5020,4855,4960,151103500,5061,5392.5,5902.583333,-11.97870453,0.236453202,19.12350598,44.54372161,0.014816117,198.283257,357.359957,-176941035.6,17.5,-2220276391,8.43373494,0.915662651
28/04/2020,4960,4975,4805,4830,180488000,4995,5359.25,5870,-13.67292225,0.225352113,18.3908046,34.35034169,-0.023611992,206.9879224,350.2325021,-198821738.5,-53.17307692,-2347679685,2.808988764,0.971910112
29/04/2020,4825,4850,4800,4850,121161000,4936,5325.5,5838.5,-11.81818182,0.248803828,19.92337165,34.38149358,0.063911197,195.8755983,352.3882408,-154126344.1,-111.7628205,-2226518685,5.586592179,0.944134078
30/04/2020,4880,5250,4880,5170,174081000,4946,5310,5816.666667,-6.255666364,0.577114428,36.59305994,37.21163272,0.371409102,191.9772122,352.0049321,-112001083,-168.974359,-2127715956,44.57831325,0.554216868
04/05/2020,5150,5300,5000,5220,114497500,5006,5300.5,5796.333333,-4.83135825,0.692307692,40.90909091,42.56593741,0.425967613,164.4566812,349.4855346,-2748468.174,-218.75,-2074283789,50.60240964,0.493975904
05/05/2020,5220,5340,5200,5285,118643500,5071,5290,5774.416667,0.858778626,0.747252747,42.7672956,48.86678263,0.49533853,153.4242484,332.2698034,65643862.78,-215.1923077,-2048860182,58.43373494,0.415662651
06/05/2020,5315,5370,5300,5355,86395500,5176,5271,5751.5,-1.290322581,0.852272727,46.01226994,48.5070679,0.5844358,175.0064285,318.2488544,105278250.5,-215.0641026,-1999491325,77.08333333,0.229166667
08/05/2020,5345,5400,5150,5245,123028000,5255,5250.5,5726.583333,-2.054154995,1.006711409,50.16722408,50.1007064,0.494088263,180.8791033,276.9821996,120776892.7,-214.6153846,-2029018045,63.57142857,0.364285714
11/05/2020,5245,5325,5245,5295,40615500,5280,5233.5,5702.166667,2.61627907,0.825503356,45.22058824,46.16711224,0.571288167,190.6069254,233.487806,119628286.7,-194.5192308,-2018864170,70.71428571,0.292857143
